product_id,factory_production_metrics,local_retail_sales,pending_shopkeeper_orders
SKU-1733,103.2,109.1,44.2
SKU-1734,125.8,7.4,2.5
SKU-1735,93.0,2.0,2.1
SKU-1736,71.0,45.4,17.9
SKU-1737,106.2,135.4,31.9
SKU-1738,103.6,85.8,49.3
SKU-1739,25.8,14.5,3.2
SKU-1740,68.3,36.9,18.3
SKU-1741,101.2,5.1,0.5
SKU-1742,126.7,3.1,0.5
SKU-1743,146.4,135.9,31.7
SKU-1744,92.7,85.5,44.3
SKU-1745,65.6,23.1,12.4
SKU-1746,127.3,2.7,2.9
SKU-1747,65.4,48.9,17.3
SKU-1748,112.3,2.9,0.7
SKU-1749,104.5,123.0,41.6
SKU-1750,107.0,118.6,49.1
SKU-1751,19.9,6.9,2.7
SKU-1752,138.0,123.1,37.3
SKU-1753,46.5,22.2,17.7
SKU-1754,91.0,2.8,0.3
SKU-1755,98.5,3.6,2.2
SKU-1756,103.7,138.8,46.8
SKU-1757,110.2,112.3,38.2
SKU-1758,13.1,3.3,1.0
SKU-1759,56.4,36.6,18.9
SKU-1760,123.0,3.1,0.3
SKU-1761,21.4,12.9,0.8
SKU-1762,90.2,1.6,2.5
SKU-1763,14.0,2.3,0.9
SKU-1764,138.9,4.3,0.3
SKU-1765,19.4,13.6,1.3
SKU-1766,13.7,13.5,1.8
SKU-1767,10.9,7.7,1.3
SKU-1768,118.2,2.1,2.1
SKU-1769,86.0,87.5,36.2
SKU-1770,62.1,45.2,17.3
SKU-1771,29.3,10.9,4.7
SKU-1772,59.1,22.4,18.5
SKU-1773,115.1,132.0,44.0
SKU-1774,44.8,42.7,7.6
SKU-1775,78.9,44.3,6.9
SKU-1776,11.6,10.9,1.0
SKU-1777,73.4,27.7,18.7
SKU-1778,86.1,104.5,36.6
SKU-1779,116.0,7.4,0.0
SKU-1780,12.3,3.9,2.8
SKU-1781,144.7,105.0,23.0
SKU-1782,133.4,7.2,2.6
SKU-1783,109.2,4.4,1.8
SKU-1784,92.1,92.2,38.5
SKU-1785,10.8,13.6,1.7
SKU-1786,42.0,34.3,9.0
SKU-1787,91.0,6.7,0.9
SKU-1788,132.1,7.0,2.1
SKU-1789,45.4,49.2,11.6
SKU-1790,103.5,3.9,1.9
SKU-1791,57.7,47.4,11.1
SKU-1792,25.2,13.3,4.1
SKU-1793,42.6,41.3,11.1
SKU-1794,92.2,130.0,26.0
SKU-1795,97.5,96.5,47.5
SKU-1796,51.0,44.7,12.6
SKU-1797,127.7,79.4,34.7
SKU-1798,13.6,13.3,2.9
SKU-1799,107.2,6.9,0.8
SKU-1800,100.0,90.9,24.9
SKU-1801,74.3,39.4,15.2
SKU-1802,122.6,4.6,2.6
SKU-1803,113.2,70.6,25.2
SKU-1804,95.7,108.7,48.3
SKU-1805,111.2,3.6,1.0
SKU-1806,100.9,3.1,1.6
SKU-1807,21.7,2.1,5.0
SKU-1808,118.1,5.2,0.8
SKU-1809,113.7,86.9,28.3
SKU-1810,133.1,2.8,2.1
SKU-1811,99.4,4.6,0.7
SKU-1812,136.4,124.2,38.0
SKU-1813,124.0,6.0,2.0
SKU-1814,103.0,3.9,1.2
SKU-1815,120.8,139.6,44.5
SKU-1816,126.3,2.6,1.6
SKU-1817,28.1,10.7,2.5
SKU-1818,73.6,46.3,7.7
SKU-1819,113.0,119.3,41.8
SKU-1820,77.9,47.0,14.8
SKU-1821,54.2,42.3,9.6
SKU-1822,108.6,5.1,1.4
SKU-1823,112.9,129.3,37.5
SKU-1824,113.1,75.6,23.6
SKU-1825,20.6,7.4,4.4
SKU-1826,45.5,26.0,11.1
SKU-1827,12.9,13.2,0.9
SKU-1828,114.1,110.5,25.3
SKU-1829,80.3,81.9,42.8
SKU-1830,63.1,24.8,16.8
SKU-1831,89.1,94.7,32.9
SKU-1832,29.3,7.0,0.2
SKU-1833,69.2,48.5,18.4
SKU-1834,40.7,20.1,16.0
SKU-1835,67.7,30.3,6.9
SKU-1836,20.1,6.0,0.3
SKU-1837,100.9,83.3,41.8
SKU-1838,111.7,5.8,0.4
SKU-1839,17.2,4.4,4.7
SKU-1840,10.4,4.9,4.9
SKU-1841,69.4,37.7,7.5
SKU-1842,125.6,6.5,1.1
SKU-1843,128.6,5.4,1.8
SKU-1844,126.3,112.3,20.6
SKU-1845,109.2,90.4,36.4
SKU-1846,24.0,4.7,3.4
SKU-1847,101.1,112.9,39.9
SKU-1848,121.1,5.9,1.3
SKU-1849,115.8,109.4,28.5
SKU-1850,114.8,108.7,43.3
SKU-1851,54.3,32.3,7.4
SKU-1852,28.2,10.9,2.4
SKU-1853,40.1,40.1,18.6
SKU-1854,13.0,3.2,2.6
SKU-1855,143.3,111.5,33.7
SKU-1856,103.2,1.4,2.4
SKU-1857,139.7,88.8,40.3
SKU-1858,24.8,3.2,3.8
SKU-1859,80.7,71.1,39.4
SKU-1860,107.9,4.1,1.9
SKU-1861,106.1,87.4,23.4
SKU-1862,29.2,5.5,1.9
SKU-1863,26.0,10.4,4.0
SKU-1864,89.3,118.1,49.4
SKU-1865,44.1,47.3,12.2
SKU-1866,13.6,6.9,1.8
SKU-1867,140.4,130.4,41.8
SKU-1868,59.3,34.6,18.3
SKU-1869,10.9,5.4,1.6
SKU-1870,79.1,40.1,10.1
SKU-1871,110.3,118.1,34.5
SKU-1872,13.0,12.7,4.5
SKU-1873,80.8,134.7,35.2
SKU-1874,27.0,13.3,0.4
SKU-1875,16.4,6.3,1.4
SKU-1876,62.0,31.4,17.3
SKU-1877,112.1,124.1,33.4
SKU-1878,18.9,3.5,2.5
SKU-1879,87.2,93.0,36.7
SKU-1880,137.8,123.3,48.9
SKU-1881,134.5,4.9,2.0
SKU-1882,29.0,6.7,0.3
SKU-1883,73.8,30.0,16.5
SKU-1884,24.3,6.7,2.3
SKU-1885,133.2,77.7,30.2
SKU-1886,117.4,3.6,0.3
SKU-1887,59.7,44.7,16.1
SKU-1888,12.1,9.9,0.9
SKU-1889,14.3,12.7,1.0
SKU-1890,95.4,3.9,2.8
SKU-1891,134.1,96.0,39.8
SKU-1892,78.6,20.1,16.0
SKU-1893,26.8,8.3,2.5
SKU-1894,67.7,25.2,17.2
SKU-1895,107.1,108.0,46.5
SKU-1896,18.4,9.9,3.5
SKU-1897,50.9,48.9,19.6
SKU-1898,26.1,3.8,3.0
SKU-1899,132.2,4.8,0.9
SKU-1900,48.0,38.7,9.4
SKU-1901,136.1,1.9,2.1
SKU-1902,60.2,40.8,9.8
SKU-1903,133.3,105.0,37.5
SKU-1904,23.5,13.6,2.7
SKU-1905,26.2,8.8,0.1
SKU-1906,42.1,21.7,9.0
SKU-1907,79.3,40.5,7.2
SKU-1908,128.3,83.6,42.6
SKU-1909,105.1,96.2,38.5
SKU-1910,69.7,36.8,8.6
SKU-1911,124.6,1.3,1.1
SKU-1912,29.1,14.7,1.6
SKU-1913,80.9,80.1,38.6
SKU-1914,26.6,13.8,3.5
SKU-1915,127.8,4.8,1.8
SKU-1916,51.8,25.3,15.2
SKU-1917,78.5,42.1,6.8
SKU-1918,110.0,104.5,23.9
SKU-1919,90.3,4.3,2.8
SKU-1920,90.8,85.8,21.5
SKU-1921,114.5,5.0,1.1
SKU-1922,116.3,7.7,1.6
SKU-1923,56.6,36.1,6.4
SKU-1924,75.3,39.9,10.0
SKU-1925,100.9,6.3,1.6
SKU-1926,88.0,87.7,27.2
SKU-1927,78.4,40.5,9.8
SKU-1928,107.0,103.2,28.5
SKU-1929,115.7,4.6,1.5
SKU-1930,134.9,2.3,1.5
SKU-1931,91.7,136.5,36.1
SKU-1932,123.9,76.9,38.9
SKU-1933,74.6,32.7,6.6
SKU-1934,22.9,14.2,3.7
SKU-1935,41.0,41.5,5.6
SKU-1936,83.8,123.5,36.7
SKU-1937,76.4,32.2,11.8
SKU-1938,18.7,2.2,3.4
SKU-1939,124.9,109.5,42.7
SKU-1940,129.1,65.8,47.8
SKU-1941,100.3,114.9,38.2
SKU-1942,128.3,4.1,1.2
SKU-1943,113.2,102.7,24.1
SKU-1944,25.9,13.0,1.5
SKU-1945,51.9,46.6,19.5
SKU-1946,137.9,1.1,2.6
SKU-1947,44.9,20.2,13.9
SKU-1948,101.3,119.9,47.1
SKU-1949,100.6,7.3,2.6
SKU-1950,46.4,26.6,17.5
SKU-1951,44.6,40.1,13.5
SKU-1952,139.6,134.6,49.8
SKU-1953,22.9,3.0,3.4
SKU-1954,94.9,6.1,1.5
SKU-1955,107.9,5.7,0.7
SKU-1956,121.0,7.3,1.0
SKU-1957,16.6,10.6,3.5
SKU-1958,62.6,30.9,9.7
SKU-1959,13.4,6.1,3.9
SKU-1960,15.5,6.7,3.4
SKU-1961,133.9,4.2,1.1
SKU-1962,114.3,1.8,1.9
SKU-1963,138.9,128.7,24.2
SKU-1964,50.5,46.6,6.1
SKU-1965,142.4,128.0,38.9
SKU-1966,25.4,4.8,0.2
SKU-1967,117.2,8.0,1.4
SKU-1968,54.6,26.7,16.6
SKU-1969,96.7,4.5,0.3
SKU-1970,115.1,5.6,2.5
SKU-1971,70.3,24.2,7.4
SKU-1972,69.4,34.5,10.4
SKU-1973,70.5,27.0,9.0
SKU-1974,41.7,26.2,18.6
SKU-1975,109.4,7.4,2.6
SKU-1976,148.6,85.9,41.1
SKU-1977,131.7,2.8,1.6
SKU-1978,55.1,31.4,13.8
SKU-1979,116.2,90.1,47.2
SKU-1980,17.1,13.3,2.4
SKU-1981,27.7,2.1,4.4
SKU-1982,13.3,3.0,3.2
SKU-1983,46.0,24.7,14.0
SKU-1984,126.3,93.2,29.9
SKU-1985,113.7,98.3,26.3
SKU-1986,65.9,32.3,8.7
SKU-1987,62.9,24.8,14.4
SKU-1988,142.4,71.7,25.0
SKU-1989,60.7,32.2,19.5
SKU-1990,141.5,118.2,44.6
SKU-1991,95.2,108.5,34.1
SKU-1992,13.4,12.8,3.0
SKU-1993,64.9,35.3,7.5
SKU-1994,136.1,5.2,0.2
SKU-1995,17.7,3.4,1.0
SKU-1996,26.5,9.9,0.9
SKU-1997,141.4,102.5,42.6
SKU-1998,113.8,70.4,38.1
SKU-1999,142.8,122.0,39.5
